Row Labels,Average of Sales,Average of Profit,,,Row Labels,Average of Sales,Average of Profit,,,Row Labels,Average of Sales,Average of Profit
France,173958,27007,,,Channel Partners,18006,13168,,,Amarilla,188799,29937
Germany,167895,26288,,,Midmarket,23819,6601,,,2013,153006,33998
Canada,177769,25209,,,Government,175014,37961,,,3,68423,6630
United States of America,178785,21397,,,Enterprise,196117,-6145,,,4,170813,39759
Mexico,149638,20768,,,Small Business,424279,41432,,,2014,200394,28622
Grand Total,169609,24134,,,Grand Total,169609,24134,,,1,384863,48486
,,,,,,,,,,2,140034,8929
,,,,,,,,,,3,226401,49527
,,,,,,,,,,4,110366,17445
,,,,,,,,,,Carretera,148552,19643
,,,,Row Labels,Average of Sales,Average of Profit,,,,2013,61168,1686
,,,,Amarilla,188799,29937,,,,3,91675,-3333
,,,,VTT,188183,27840,,,,4,52694,3080
,,,,Paseo,163422,23750,,,,2014,177263,25543
,,,,Montana,165492,22739,,,,1,162452,35876
,,,,Velo,167432,21156,,,,2,132184,13410
,,,,Carretera,148552,19643,,,,3,130150,6479
,,,,Grand Total,169609,24134,,,,4,247112,39448
,,,,,,,,,,Montana,165492,22739
,,,,,,,,,,2013,172860,19903
,,,,,,,,,,3,406680,70646
,,,,,,,,,,4,107910,5807
,,,,,,,,,,2014,163072,23671
,,,,,,,,,,1,123162,22457
,,,,,,,,,,2,258052,42447
,,,,,,,,,,3,154246,15611
,,,,,,,,,,4,113870,13413
,,,,,,,,,,Paseo,163422,23750
,,,,,,,,,,2013,115975,21566
,,,,,,,,,,3,68287,10597
,,,,,,,,,,4,127607,24241
,,,,,,,,,,2014,179446,24487
,,,,,,,,,,1,168926,17695
,,,,,,,,,,2,216036,29649
,,,,,,,,,,3,113904,20485
,,,,,,,,,,4,195492,26788
,,,,,,,,,,Velo,167432,21156
,,,,,,,,,,2013,229530,23035
,,,,,,,,,,3,26444,11440
,,,,,,,,,,4,275685,25670
,,,,,,,,,,2014,146985,20537
,,,,,,,,,,1,70489,4271
,,,,,,,,,,2,101142,22684
,,,,,,,,,,3,268136,21134
,,,,,,,,,,4,153389,28051
,,,,,,,,,,VTT,188183,27840
,,,,,,,,,,2013,192908,31364
,,,,,,,,,,3,150574,39557
,,,,,,,,,,4,204454,29129
,,,,,,,,,,2014,186549,26623
,,,,,,,,,,1,226791,31123
,,,,,,,,,,2,86011,14789
,,,,,,,,,,3,321463,44909
,,,,,,,,,,4,166892,23060
,,,,,,,,,,Grand Total,169609,24134
